tag_id,name,category,count
9999999,general,9,1589178
9999998,sensitive,9,3994361
9999997,questionable,9,892496
9999996,explicit,9,706509
470575,1girl,0,5113288
212816,solo,0,4253220
13197,long_hair,0,3645082
8601,breasts,0,2889545
469576,looking_at_viewer,0,2696730
3389,blush,0,2496356
1815,smile,0,2365730
11906,open_mouth,0,1950469
15080,short_hair,0,1904624
10959,blue_eyes,0,1490640
412368,simple_background,0,1420030
12590,shirt,0,1382452
403247,large_breasts,0,1333379
429,skirt,0,1328225
87788,blonde_hair,0,1311581
566835,multiple_girls,0,1309199
16867,brown_hair,0,1267072
13200,black_hair,0,1225953
383159,long_sleeves,0,1199349
380350,hair_ornament,0,1175185
515193,white_background,0,1161729
540830,1boy,0,1129709
5735,gloves,0,1113040
8526,red_eyes,0,1081613
2241,dress,0,1046050
1882,thighhighs,0,1034635
2373,hat,0,1034610
375387,holding,0,1022399
4563,bow,0,984380
9294,navel,0,974528
6126,animal_ears,0,950191
464575,ribbon,0,937186
658573,hair_between_eyes,0,922798
572080,closed_mouth,0,876401
1821,2girls,0,860944
4607,cleavage,0,848453
16613,jewelry,0,829749
376054,bare_shoulders,0,815753
417660,very_long_hair,0,783428
12289,sitting,0,782247
1709,twintails,0,770972
667868,medium_breasts,0,770389
16578,brown_eyes,0,747352
15675,standing,0,733225
8889,nipples,0,717669
10960,green_eyes,0,711390
464906,underwear,0,706352
10953,blue_hair,0,704952
3843,jacket,0,700303
16509,school_uniform,0,688100
15654,purple_eyes,0,669153
466499,collarbone,0,655630
15674,tail,0,634183
376766,white_shirt,0,629056
608813,full_body,0,624413
547463,upper_body,0,595301
391,panties,0,580171
465619,closed_eyes,0,570045
89189,yellow_eyes,0,565375
444,swimsuit,0,564464
16581,white_hair,0,563701
11429,pink_hair,0,551851
1681,monochrome,0,547787
16580,grey_hair,0,529760
3522,ahoge,0,528662
4334,braid,0,525679
464561,hair_ribbon,0,525639
16442,purple_hair,0,524002
1300281,male_focus,0,516211
2355,ponytail,0,514797
8101,ass,0,513666
464559,flower,0,512140
11449,weapon,0,506828
390728,multicolored_hair,0,501249
472154,short_sleeves,0,499860
484168,sidelocks,0,484224
63,comic,0,474986
622137,hetero,0,472134
2750,heart,0,467808
3870,thighs,0,465668
384553,:d,0,464842
374844,hair_bow,0,455229
2363,pantyhose,0,441476
13879,outdoors,0,439693
660909,cowboy_shot,0,438408
13804,earrings,0,434737
513837,greyscale,0,432002
6539,bikini,0,426322
4569,sweat,0,425602
5403,red_hair,0,424264
2365,nude,0,422321
383282,pleated_skirt,0,416655
465265,small_breasts,0,413326
194013,frills,0,401738
2376,hairband,0,397872
664375,parted_lips,0,396122
4352,censored,0,388593
5827,boots,0,384723
375669,open_clothes,0,384414
301022,lying,0,380092
2785,horns,0,374048
6054,teeth,0,370407
568656,multiple_boys,0,367969
2866,wings,0,366146
1575,food,0,362486
384774,necktie,0,360748
461042,one_eye_closed,0,359739
387884,detached_sleeves,0,358429
406,sky,0,357335
4190,penis,0,346918
3985,shorts,0,345909
8388,green_hair,0,345032
1707,japanese_clothes,0,344888
8672,shoes,0,343802
400314,sleeveless,0,341431
474820,black_gloves,0,331176
431446,alternate_costume,0,330775
478849,collared_shirt,0,321941
4025,choker,0,320504
11826,barefoot,0,316857
4378,pussy,0,313579
1731,socks,0,309931
6532,glasses,0,309385
10863,tongue,0,309295
15522,pointy_ears,0,307225
931006,solo_focus,0,304477
10926,pants,0,303036
435324,day,0,294620
1407561,virtual_youtuber,0,287601
268819,serafuku,0,285501
375171,indoors,0,281809
581144,puffy_sleeves,0,281250
657955,artist_name,0,280968
2646,hairclip,0,280648
426781,medium_hair,0,273659
9864,belt,0,271864
1793,fang,0,269175
455880,black_thighhighs,0,266928
539367,hand_up,0,265393
10228,elbow_gloves,0,265300
9843,midriff,0,258987
410129,looking_back,0,245547
464549,cloud,0,244228
474821,white_gloves,0,242027
411263,signature,0,238587
11628,bowtie,0,236148
5948,hood,0,235850
401228,sword,0,235273
374628,black_skirt,0,233282
71730,dark_skin,0,233165
449194,2boys,0,232894
72,cat_ears,0,232052
537684,blunt_bangs,0,230036
400123,hair_flower,0,229731
1515536,official_alternate_costume,0,225665
502710,tongue_out,0,225097
2357,sex,0,224302
16252,spread_legs,0,220686
16750,pink_eyes,0,219657
389378,sailor_collar,0,218314
394970,wide_sleeves,0,217852
9168,miniskirt,0,216954
467104,stomach,0,216728
375020,fingerless_gloves,0,215557
1842,cum,0,214632
401481,on_back,0,214058
6010,tears,0,212598
659098,black_footwear,0,212435
632214,grey_background,0,211830
399836,3girls,0,210649
5576,armpits,0,207204
1254363,twitter_username,0,204487
445,kimono,0,203282
14620,white_dress,0,200841
670071,holding_weapon,0,199609
375229,off_shoulder,0,198797
4068,necklace,0,198325
491647,striped_clothes,0,198065
454933,hair_bun,0,196126
102962,nail_polish,0,194099
234192,from_behind,0,194007
656624,star_(symbol),0,193728
4019,mole,0,193676
641577,looking_at_another,0,193341
1573,water,0,192003
399541,hair_over_one_eye,0,191524
4333,bag,0,189775
465583,rabbit_ears,0,189631
1747,chibi,0,189310
87676,orange_hair,0,188757
6107,blurry,0,186733
384884,grin,0,184832
125238,sweatdrop,0,183914
473983,clothes_lift,0,180831
39127,black_dress,0,180427
3198,scarf,0,180052
6346,cape,0,179107
375002,white_thighhighs,0,177995
13199,black_eyes,0,177620
413564,two-tone_hair,0,177573
590165,english_text,0,176369
440465,speech_bubble,0,174933
719985,streaked_hair,0,174249
3796,bra,0,174110
261,yuri,0,173747
4659,armor,0,173212
393959,huge_breasts,0,172931
6176,vest,0,172325
379615,open_jacket,0,172212
4010,halo,0,171236
511141,from_side,0,170900
273,apron,0,170846
682673,mosaic_censoring,0,168821
2060,feet,0,168107
470807,red_bow,0,167752
475187,arm_up,0,167695
374791,white_panties,0,165931
6295,leotard,0,164592
510962,character_name,0,164580
5569,coat,0,164331
547860,black_jacket,0,164106
10484,vaginal,0,163514
9882,high_heels,0,163428
14599,:o,0,161509
4052,collar,0,157883
399827,arms_up,0,157778
3477,sweater,0,157546
11904,bracelet,0,155007
490655,blue_sky,0,153281
378032,flat_chest,0,153112
52138,twin_braids,0,153036
560958,dated,0,152997
4152,uniform,0,151209
381629,side_ponytail,0,150003
1486996,animal_ear_fluff,0,148687
390401,red_ribbon,0,148072
395321,crop_top,0,147956
464553,cup,0,147196
89368,aqua_eyes,0,146831
633894,dark-skinned_female,0,146761
524961,black_shirt,0,146589
515329,covered_nipples,0,143326
684639,puffy_short_sleeves,0,142595
551772,parted_bangs,0,142403
822149,completely_nude,0,142366
428173,blue_skirt,0,142104
652604,two_side_up,0,142047
427008,fingernails,0,141611
457408,black_pantyhose,0,141072
464586,tree,0,140918
481846,hands_up,0,138918
579466,looking_to_the_side,0,137447
1445905,v-shaped_eyebrows,0,137432
89228,grey_eyes,0,136673
95405,orange_eyes,0,135596
4311,legs,0,134873
438623,neckerchief,0,134018
479939,sleeves_past_wrists,0,131361
1931,sketch,0,131099
389404,cat_tail,0,130241
754325,groin,0,129422
537200,symbol-shaped_pupils,0,129300
416202,eyelashes,0,128622
4867,wet,0,128093
539584,fur_trim,0,127842
451371,see-through,0,127554
5501,lips,0,125983
412078,wrist_cuffs,0,125676
709722,hand_on_own_hip,0,125620
128,loli,0,124937
464572,pillow,0,122701
431755,head_tilt,0,122394
589,gun,0,122390
59,maid,0,122284
382397,strapless,0,122123
10644,zettai_ryouiki,0,122114
1594634,clothing_cutout,0,121589
1390441,black_headwear,0,121530
465277,plaid,0,120783
492223,bar_censor,0,120647
10923,torn_clothes,0,120399
1277433,mole_under_eye,0,120358
2335,fox_ears,0,120058
28200,toes,0,119731
513475,multiple_views,0,119546
494251,one-piece_swimsuit,0,118876
464535,book,0,118517
379475,sash,0,118038
463173,maid_headdress,0,117701
407186,sleeveless_shirt,0,117558
394174,short_shorts,0,117065
475418,bare_arms,0,116958
568880,sleeveless_dress,0,116615
1393877,feet_out_of_frame,0,116076
12552,pubic_hair,0,115896
531371,gradient_background,0,115876
449676,ascot,0,115713
494744,shiny_skin,0,115412
2687,v,0,115319
1128907,pokemon_(creature),0,115136
16718,black_panties,0,114889
358,cosplay,0,114264
464579,sparkle,0,114066
542846,no_humans,0,113058
529256,fake_animal_ears,0,112862
465719,muscular,0,112819
13132,petals,0,111766
3314,kneehighs,0,111224
469714,bare_legs,0,110989
2813,window,0,110493
5032,uncensored,0,110091
443395,thigh_strap,0,108401
1247160,black_bow,0,108215
389813,single_braid,0,107847
1269639,covered_navel,0,107348
202817,hoodie,0,106750
467863,neck_ribbon,0,106611
474500,black_ribbon,0,106604
600177,detached_collar,0,105572
391128,gradient_hair,0,105527
1875867,upper_teeth_only,0,104994
464584,tattoo,0,104884
375372,dutch_angle,0,104788
1382794,black_choker,0,104672
8641,dress_shirt,0,104532
395400,buttons,0,104413
468554,double_bun,0,104209
553142,blurry_background,0,103689
7577,open_shirt,0,103344
1736,profile,0,102653
6028,sideboob,0,101878
10447,kneeling,0,101731
9312,makeup,0,100922
2508,blood,0,100920
6536,bell,0,100549
7820,military,0,99708
5126,hug,0,99630
7926,saliva,0,99380
565513,floating_hair,0,98852
94007,aqua_hair,0,98809
1797,mask,0,98779
4108,pov,0,98619
1094664,colored_skin,0,98305
444539,skindentation,0,98168
457597,swept_bangs,0,98144
2217,anus,0,98073
411323,capelet,0,97674
9344,bodysuit,0,97474
427348,leaning_forward,0,97276
458933,facial_hair,0,97145
412555,4girls,0,96981
377140,blue_dress,0,95763
3472,night,0,95699
13176,shadow,0,95254
514890,black_pants,0,95223
13853,pussy_juice,0,94927
2585,bed,0,94748
675314,copyright_name,0,93920
390035,no_bra,0,93761
374620,black_bikini,0,93679
5565,:3,0,93246
3918,4koma,0,92575
3449,heterochromia,0,91354
460262,depth_of_field,0,91237
420531,nose_blush,0,90911
1345229,white_headwear,0,90842
503552,red_skirt,0,90543
442167,alternate_hairstyle,0,90370
546609,blue_bow,0,90316
4009,turtleneck,0,90071
5832,fruit,0,89876
51528,fox_tail,0,89727
402217,^_^,0,88727
580545,blue_background,0,88552
511136,border,0,88504
626,underboob,0,88422
8714,watermark,0,88371
10422,witch_hat,0,88359
465950,cum_in_pussy,0,88301
377844,siblings,0,88257
436054,highleg,0,88254
479563,low_twintails,0,88176
387214,military_uniform,0,88136
419938,expressionless,0,87889
374938,frown,0,87756
464534,bird,0,87300
1595,no_panties,0,87258
490999,on_bed,0,87165
460802,rose,0,86971
653206,one_side_up,0,86909
4075,cameltoe,0,86493
381555,headband,0,86459
4320,glowing,0,86347
612641,black_shorts,0,86191
3988,scar,0,85680
391680,horse_ears,0,85532
4528,bottomless,0,84868
258190,beret,0,84204
11325,ocean,0,84168
1231230,side-tie_bikini_bottom,0,83802
478565,bed_sheet,0,83635
375476,soles,0,83624
10701,animal,0,83613
1303252,brown_footwear,0,83548
464808,holding_hands,0,83399
421663,wavy_hair,0,83362
446950,fangs,0,83325
546821,halterneck,0,83212
419309,thick_thighs,0,83015
4244,leaf,0,82962
464546,chain,0,82759
709734,playboy_bunny,0,82752
2279,headphones,0,82699
4831,piercing,0,82187
394222,arm_support,0,81973
444002,from_above,0,81395
144876,embarrassed,0,81248
580232,white_jacket,0,80842
698161,holding_sword,0,80551
463397,white_socks,0,80206
534835,hair_intakes,0,79107
377124,back,0,78990
499624,blush_stickers,0,78966
375404,chinese_clothes,0,78938
426936,white_bikini,0,78899
1328533,ass_visible_through_thighs,0,78235
3234,erection,0,78218
2993,phone,0,77823
463179,no_shoes,0,77591
481508,facial_mark,0,77562
2904,chair,0,77402
450107,thick_eyebrows,0,77258
418899,plaid_skirt,0,77244
387991,abs,0,77016
1915,umbrella,0,76782
415974,looking_down,0,76733
2091,bandages,0,76312
2799,beach,0,76274
395448,thigh_boots,0,76160
